id,Geo Point_1,Geo Point_2,CLAVE
241,19.44557007,-99.10157082,17
242,19.44225027,-99.09705016,17
243,19.43282198,-99.12237585,17
244,19.54595844,-99.13135435,5
245,19.53053413,-99.14228306,5
246,19.46548958,-99.11695945,5
247,19.474293,-99.06267018,5
248,19.50876941,-99.13701312,5
249,19.46008642,-99.11370485,5
250,19.47720891,-99.14115656,5
251,19.55523772,-99.12282146,5
252,19.52181951,-99.15181915,5
253,19.46148259,-99.1179258,5
254,19.46588425,-99.10510961,5
255,19.47284599,-99.08839851,5
256,19.25355243,-99.08081502,13
257,19.26646656,-99.10680005,13
258,19.27273395,-99.12430075,13
259,19.51788972,-99.15156978,5
260,19.55684227,-99.15246758,5
261,19.48349795,-99.09303813,5
262,19.26036366,-99.05452804,13
263,19.18091914,-99.11725334,13
264,19.24386363,-99.01740035,13
265,19.24373938,-99.02509607,13
266,19.23883695,-99.15257563,12
267,19.30307178,-99.1284415,12
268,19.30182835,-99.21960036,12
269,19.27776484,-99.18999572,12
270,19.21090692,-99.15843202,12
271,19.29075384,-99.12378087,12
272,19.28446591,-99.13251735,12
273,19.29828064,-99.15949248,12
274,19.28248131,-99.19782613,12
275,19.27580116,-99.24352205,12
276,19.20811737,-99.16471169,12
277,19.26883659,-99.21926861,12
278,19.26788215,-99.23152526,12
279,19.5210761,-99.1297026,5
280,19.5153715,-99.144978,5
281,19.18713618,-99.1436974,12
282,19.29594457,-99.17403429,12
283,19.28965248,-99.11894454,12
284,19.29344557,-99.05683499,11
285,19.24889625,-99.00132169,11
286,19.32380953,-98.97692013,11
287,19.31245555,-98.97305906,11
288,19.37632425,-99.19538933,10
289,19.4884891,-99.1832352,2
290,19.47821659,-99.19705732,2
291,19.47533648,-99.20414633,2
292,19.46857502,-99.16842535,2
293,19.49355697,-99.19858823,2
294,19.4639503,-99.17466354,2
295,19.41170754,-99.12995,15
296,19.3885911,-99.20650198,10
297,19.39584433,-99.20447981,10
298,19.3636766,-99.23851584,10
299,19.40133377,-99.19752379,10
300,19.3840085,-99.20382888,10
301,19.3778693,-99.23313862,10
302,19.38568843,-99.19653773,10
303,19.35529723,-99.25499317,10
304,19.34102256,-99.2329466,10
305,19.36757831,-99.20552391,10
306,19.35485521,-99.19417425,10
307,19.32183753,-99.26877103,10
308,19.40558625,-99.14026834,15
309,19.38281448,-99.2177636,10
310,19.38063573,-99.21143664,10
311,19.35806008,-99.2300823,10
312,19.35677511,-99.18722427,10
313,19.35042165,-99.23799595,10
314,19.38544825,-99.10641977,6
315,19.29085594,-99.05254235,11
316,19.39451545,-99.06933551,6
317,19.44219241,-99.14600934,15
